,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.5236760473242813,0.10662207354542826,0.02143706009768514,0.06958911916750611,0.5080660662035179,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.6390194045135043,0.08603616342104586,0.016254273775163447,0.04903520559287767,0.6278224472960934,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9854550089856561,0.011850667356870723,0.0006476687956953452,0.0036864383022002984,0.985123893778504,0.0,0.0,0.0,0.0,0.0
elastic_net,0.13067354134455028,0.15933788496288118,0.03934252368984713,0.13877765138814693,0.10713095758499827,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9543582655498503,0.017195903130785894,0.00207037595761536,0.004081593121407561,0.9529839205195204,0.0,0.0,0.0,0.0,0.0
huber,-0.13286518209757844,0.16632538188184315,0.0506189003930506,0.1352305179572773,-0.15123225591085537,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.04623062329569192,0.16912856009260002,0.04324829079699818,0.14647082116032964,0.006450745770110655,0.0,0.0,0.0,0.0,0.0
lasso,0.11319285303665846,0.15986718864140473,0.040075712454631526,0.13808439600320696,0.09063609150557708,0.0,0.0,0.0,0.0,0.0
lasso_lars,-1.1102230246251566e-17,0.1791541350919468,0.044977157114346425,0.17549898713183637,-0.027011395345430046,0.0,0.0,0.0,0.0,0.0
linear,0.639050193157232,0.08587344125246638,0.016246154254699927,0.04880567388523603,0.6278773195287042,0.0,0.0,0.0,0.0,0.0
linear_svr,-33.85778781780427,0.8236456885367724,2.284301805003599,0.38616466794097937,-50.067269117082716,0.0,0.0,0.0,0.0,0.0
mlp,-115315.8027408405,31.56078547967158,6929.067906541869,16.91336637389775,-150449.91117320178,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9804272861693709,0.011839757600041034,0.0009177618074719086,0.003879526867331673,0.9791826653479683,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.21590066412418976,0.1509517088016771,0.035330185825588764,0.13294025245635105,0.19452190272318565,0.0,0.0,0.0,0.0,0.0
ransac,0.01801755647731098,0.10627164596259173,0.04577583774037695,0.04370060496086801,-0.024719513532349958,0.0,0.0,0.0,0.0,0.0
ridge,0.6373126119386149,0.08721180651397811,0.01635358385789922,0.04926429911876774,0.6259950419009062,0.0,0.0,0.0,0.0,0.0
svr,0.8505940821851121,0.07369829260914007,0.006776255643875971,0.08614098685927232,0.8440111725608682,0.0,0.0,0.0,0.0,0.0
theil_sen,0.28454633779508454,0.12226544591644224,0.032281587811730815,0.07876935741856154,0.2574659638504089,0.0,0.0,0.0,0.0,0.0
