,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.337265859541627,0.14941273991090293,0.033880581225945394,0.11921961587616167,0.32854363751239923,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.47877498022637255,0.13239755641183476,0.02676505358285613,0.11362354558072571,0.4673268978486214,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9811784765461169,0.007768488099022329,0.0009411382989565776,0.0023867375780436935,0.9808709798252886,0.0,0.0,0.0,0.0,0.0
elastic_net,0.40494831809247583,0.1407358723470524,0.030359108690981136,0.11758363790045626,0.39437998733544505,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9626746250863715,0.011345662385274952,0.001810936141007781,0.003162345582103425,0.9619182051742279,0.0,0.0,0.0,0.0,0.0
huber,-0.020724565471237022,0.17903493567982195,0.05419400146216287,0.14976805420013445,-0.0819738517071958,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.15837143129061884,0.17343962278409664,0.0436800261483007,0.15386305898924066,0.131276707770247,0.0,0.0,0.0,0.0,0.0
lasso,0.40443463906146426,0.14040098910545212,0.030372608198018188,0.11755514027881264,0.39415180017086116,0.0,0.0,0.0,0.0,0.0
lasso_lars,0.0,0.1806608015440631,0.05121949702697588,0.16933883884672013,-0.006998586515226157,0.0,0.0,0.0,0.0,0.0
linear,0.48223162822377497,0.1321349309772024,0.026640762087467695,0.11327951375490083,0.47019091104075966,0.0,0.0,0.0,0.0,0.0
linear_svr,-204.55021562148642,1.4531310384338687,15.96976225990934,0.7010593883980009,-425.4851440227073,0.0,0.0,0.0,0.0,0.0
mlp,-197430.77424117652,68.22146939943187,16864.15838463376,31.9685252394965,-316688.50157354143,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9896418265666915,0.005678236283038367,0.0005356592119806942,0.002414232706287922,0.9893620908676866,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.3219690912449531,0.15154177496944585,0.03459915692515948,0.13774964087750624,0.3139081670473671,0.0,0.0,0.0,0.0,0.0
ransac,-10.764506015243947,0.2953193431550144,0.6156412806998286,0.057581512654212484,-11.98627544994341,0.0,0.0,0.0,0.0,0.0
ridge,0.48229792958555356,0.13205655221560392,0.026625265129100944,0.1135211766472826,0.4704243594020097,0.0,0.0,0.0,0.0,0.0
svr,0.8657188887026551,0.07952002497596881,0.00705880608050565,0.08932874694807591,0.8588512044672314,0.0,0.0,0.0,0.0,0.0
theil_sen,-1.868537319596583,0.2202363152606356,0.1441225875655599,0.13196378018028873,-1.9313170027066497,0.0,0.0,0.0,0.0,0.0
