,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.5232552388815075,0.09970474652135766,0.024582630204079352,0.047763474590384734,0.5136019907965707,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5538536322363942,0.09416296135994812,0.023008431072905372,0.041531173447820334,0.5431845046962038,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9463964351541445,0.014157193292786877,0.0028257062175435057,0.00179130805760786,0.9458327022604539,0.0,0.0,0.0,0.0,0.0
elastic_net,0.23960626185914252,0.1491791156870656,0.03791969111111082,0.11520020535897846,0.22410435299421033,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.799703398326998,0.02037381624000326,0.009884930002770702,0.0023573684472217556,0.7946563389178071,0.0,0.0,0.0,0.0,0.0
huber,0.08340462840376775,0.16071826739819203,0.04667752256440247,0.12264226112897214,0.04792733341599962,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.13397139298694621,0.16286539937886077,0.04445906540896055,0.12643837683329034,0.0902125165366106,0.0,0.0,0.0,0.0,0.0
lasso,0.23940617540071613,0.14901805235443272,0.0379292728037712,0.11555753706056862,0.2239089149605006,0.0,0.0,0.0,0.0,0.0
lasso_lars,2.2204460492503132e-17,0.1819020374772944,0.04979816035772284,0.1781680394476512,-0.01814050808388059,0.0,0.0,0.0,0.0,0.0
linear,0.5548314565658321,0.09368260270964271,0.022959146328150517,0.04005798724912969,0.5442743813191939,0.0,0.0,0.0,0.0,0.0
linear_svr,-224.25368752428184,1.792424846077111,20.06585994680257,0.9371321051352585,-536.1381050722132,0.0,0.0,0.0,0.0,0.0
mlp,-241419.47015531157,65.1240501456715,23392.396564553223,30.746421542532392,-403698.63119948615,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9414188905161293,0.015762548796635398,0.0028372805949350753,0.0029722806652755563,0.9405607800223418,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.09228848912883153,0.16516644440222547,0.046045172102468515,0.12629450498751327,0.0684290437307283,0.0,0.0,0.0,0.0,0.0
ransac,-0.8626668844290932,0.12292955328055859,0.09321583084798621,0.03561832121089521,-0.9579784681267585,0.0,0.0,0.0,0.0,0.0
ridge,0.5520966384831814,0.09515277664586866,0.023093266103736906,0.04453447815620585,0.5413203766391639,0.0,0.0,0.0,0.0,0.0
svr,0.8335721525387353,0.07910798246269753,0.008732877338239128,0.09167337324757854,0.8153756441139116,0.0,0.0,0.0,0.0,0.0
theil_sen,0.3814226137192205,0.11940537399326993,0.030999380402422262,0.07735637035519526,0.37251911995411807,0.0,0.0,0.0,0.0,0.0
