,0,1,2,3,4,5,6,7,8,9,10
arb_md_dtree_f1_scores,majority_class_size,unbalanced,minority_class_size,overlap,instances,,,,,,
arb_md_gnb_f1_scores,majority_class_size,targets,minority_class_size,overlap,features,instances,,,,,
arb_md_knn_f1_scores,majority_class_size,targets,minority_class_size,overlap,,,,,,,
arb_md_mlp_f1_scores,majority_class_size,targets,instances,overlap,unbalanced,,,,,,
arb_md_svc_f1_scores,silhouette,majority_class_size,targets,overlap,features,unbalanced,,,,,
arb_mdi_dtree_f1_scores,majority_class_size,instances,targets,minority_class_size,overlap,features,,,,,
arb_mdi_gnb_f1_scores,majority_class_size,targets,overlap,instances,features,,,,,,
arb_mdi_knn_f1_scores,minority_class_size,majority_class_size,features,overlap,silhouette,targets,instances,,,,
arb_mdi_mlp_f1_scores,majority_class_size,targets,unbalanced,overlap,instances,,,,,,
arb_mdi_svc_f1_scores,majority_class_size,silhouette,instances,overlap,targets,,,,,,
arb_mdic_dtree_f1_scores,silhouette,targets,majority_class_size,features,instances,unbalanced,overlap,,,,
arb_mdic_gnb_f1_scores,silhouette,instances,overlap,features,,,,,,,
arb_mdic_knn_f1_scores,majority_class_size,silhouette,n_binary_features,overlap,instances,features,,,,,
arb_mdic_mlp_f1_scores,silhouette,features,instances,overlap,unbalanced,majority_class_size,,,,,
arb_mdic_svc_f1_scores,instances,targets,overlap,majority_class_size,,,,,,,
borda_f1_scores,n_binary_features,unbalanced,features,silhouette,majority_class_size,overlap,minority_class_size,,,,
cmb_dtree_f1_scores,n_binary_features,targets,silhouette,features,minority_class_size,majority_class_size,unbalanced,,,,
cmb_gnb_f1_scores,silhouette,majority_class_size,minority_class_size,instances,unbalanced,features,targets,,,,
cmb_knn_f1_scores,n_binary_features,silhouette,features,minority_class_size,majority_class_size,unbalanced,instances,overlap,,,
cmb_mlp_f1_scores,n_binary_features,silhouette,minority_class_size,features,targets,unbalanced,majority_class_size,,,,
cmb_svc_f1_scores,n_binary_features,silhouette,targets,minority_class_size,features,unbalanced,instances,majority_class_size,,,
copeland_f1_scores,silhouette,unbalanced,targets,features,majority_class_size,minority_class_size,,,,,
dowdall_f1_scores,unbalanced,silhouette,minority_class_size,majority_class_size,instances,targets,n_binary_features,overlap,,,
dtree_f1_scores,n_binary_features,silhouette,unbalanced,majority_class_size,minority_class_size,overlap,targets,,,,
gnb_f1_scores,n_binary_features,unbalanced,silhouette,majority_class_size,features,targets,instances,minority_class_size,overlap,,
knn_f1_scores,silhouette,unbalanced,majority_class_size,instances,targets,features,overlap,minority_class_size,,,
mean_f1_scores,silhouette,unbalanced,targets,majority_class_size,features,n_binary_features,instances,minority_class_size,,,
median_f1_scores,silhouette,instances,unbalanced,minority_class_size,majority_class_size,n_binary_features,targets,,,,
mlp_f1_scores,unbalanced,silhouette,targets,minority_class_size,majority_class_size,n_binary_features,overlap,,,,
plurality_f1_scores,silhouette,unbalanced,targets,majority_class_size,features,n_binary_features,instances,overlap,,,
simpson_f1_scores,silhouette,n_binary_features,minority_class_size,features,unbalanced,majority_class_size,instances,targets,overlap,,
svc_f1_scores,silhouette,unbalanced,features,n_binary_features,instances,majority_class_size,minority_class_size,overlap,,,
